unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay;Street Name;Latitude;Longitude;Hot Tub;Pool
AIR4384488;2019-1;92315;Big Bear Lake;Professionals;5;4;15+;17123.31989;31;0.451612903;1223.094278;17.5;2.5;Talmadge Road;34.24215;-116.92308;1;0
AIR4386727;2019-1;92315;Big Bear Lake;Professionals;4;3.5;12;14633.51019;31;0.483870968;975.5673462;18.16666667;2.5;Cameron Drive;34.238;-116.91238;1;0
AIR4403449;2019-1;92314;Big Bear City;Professionals;4;2.5;15+;13693.56024;31;0.483870968;912.9040161;37;2;Angels Camp Road;34.23763;-116.84259;1;0
AIR4409647;2019-1;92315;Big Bear Lake;Professionals;4;2.5;14;15178.48016;31;0.516129032;948.6550102;19.125;2.75;Eagle Ridge;34.25693;-116.87692;1;0
AIR4427739;2019-1;92315;Big Bear Lake;Professionals;5;3;15+;19901.86969;31;0.709677419;904.6304405;94.66666667;2.888888889;Saint Anton Court;34.24133;-116.89015;1;1
AIR4430533;2019-1;92315;Big Bear Lake;Single Owners;3;1;6;5315.339928;31;0.935483871;183.2875837;25.85714286;2.428571429;Willow Avenue;34.23665;-116.8728;1;0
AIR4453608;2019-1;92252;Joshua Tree;2-5 Units;3;2;5;499.9400024;31;0.064516129;249.9700012;2;3;Hillview Road;34.10778;-116.31951;0;0
AIR4469748;2019-1;92315;Big Bear Lake;Professionals;4;4;8;10035.64006;31;0.838709677;385.9861562;50.71428571;2.071428571;Menlo Drive;34.23535;-116.85878;0;0
AIR4509329;2019-1;92315;Big Bear Lake;Professionals;5;4;14;21652.82965;31;0.548387097;1273.695862;21.42857143;2.857142857;Clover Drive;34.22586;-116.86263;1;0
AIR4582783;2019-1;92315;Big Bear Lake;Professionals;3;2.5;10;10318.80988;31;0.548387097;606.9888162;28.625;2.5;Butte Avenue;34.24006;-116.85735;1;0
AIR4588679;2019-1;92315;Big Bear Lake;Single Owners;3;2;7;5594.360046;31;0.451612903;399.5971462;14.5;1.75;Pigeon Road;34.22642;-116.86266;0;0
AIR4645690;2019-1;92252;Joshua Tree;Single Owners;3;2;6;3733.479889;31;0.838709677;143.5953803;18.92857143;1.857142857;Sunny Sands Drive;34.20016;-116.28444;0;0
AIR4661220;2019-1;92314;Big Bear City;Single Owners;5;3;12;5443.379944;31;0.548387097;320.1988202;31.2;1.7;Plumas Court;34.24181;-116.85955;0;0
AIR4693222;2019-1;92315;Big Bear Lake;Single Owners;3;2;8;6039.329941;31;0.838709677;232.2819208;38.84615385;2;Switzerland Drive;34.2364;-116.88613;0;0
AIR4718466;2019-1;92314;Big Bear City;2-5 Units;3;1.5;10;4172.419964;31;0.903225806;149.0149987;50.6875;1.9375;East Cedar Lane;34.24030193;-116.8235632;0;0
